,Mkt-RF,SMB,HML,RMW,CMA,Rf
20140107,0.68,0.31,-0.37,-0.07,-0.27,2.97
20140108,0.04,-0.01,-0.11,-0.48,-0.02,2.88
20140109,0.02,0.17,-0.44,-0.54,-0.42,2.84
20140110,0.27,0.45,-0.82,-0.3,-0.33,2.88
20140113,-1.32,-0.1,0.1,-0.1,0.46,2.90
20140114,1.15,0.11,-0.31,-0.07,-0.35,2.86
20140115,0.53,0.21,0.2,-0.4,0,2.84
20140116,-0.07,0.25,-0.7,0,-0.28,2.85
20140117,-0.39,0.01,0.02,-0.19,0.03,2.87
20140121,0.3,0.44,0,-0.22,-0.34,2.79
20140122,0.15,0.3,0.22,-0.15,-0.18,2.75
20140123,-0.86,0.1,-0.54,0.18,-0.09,2.78
20140124,-2.19,-0.38,0.17,0.21,0.04,2.77
20140127,-0.65,-0.79,0.38,0.44,0.4,2.69
20140128,0.73,0.15,0.07,-0.84,0.16,2.72
20140129,-1.07,-0.34,0.21,0.15,0.16,2.67
20140130,1.22,0.22,-0.38,-0.87,-0.49,2.61
20140131,-0.66,-0.1,-0.34,0.2,-0.21,2.64
20140203,-2.49,-0.85,0.27,0.2,0.05,2.70
20140204,0.77,-0.06,-0.03,-0.15,0.21,2.73
20140205,-0.23,-0.58,0.2,0.13,0.2,2.71
20140206,1.21,-0.43,0.27,0.07,-0.06,2.70
20140207,1.33,-0.24,-0.63,-0.44,-0.47,2.75
20140210,0.16,0.07,-0.47,-0.29,-0.18,2.80
20140211,1.09,-0.17,0.25,0.01,0.1,2.73
20140212,0.11,0.26,-0.06,0.18,-0.01,2.75
20140213,0.72,0.65,-0.07,-0.22,-0.33,2.71
20140214,0.42,-0.33,0.36,0.37,0.35,2.73
20140218,0.27,0.94,-0.24,-0.31,-0.26,2.76
20140219,-0.74,-0.32,-0.44,0.33,0.06,2.73
20140220,0.7,0.52,-0.22,-0.01,-0.19,2.75
20140221,-0.09,0.37,-0.02,0,-0.07,2.70
20140224,0.65,0.2,0.33,-0.16,0.01,2.67
20140225,-0.1,0.07,-0.59,-0.09,0.03,2.65
20140226,0.12,0.66,-0.1,-0.02,0.01,2.66
