PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
59408,20160527,BAC,BANK OF AMERICA CORP,14.88000,0.012245,1
59408,20160531,BAC,BANK OF AMERICA CORP,14.79000,-0.006048,1
59408,20160601,BAC,BANK OF AMERICA CORP,14.86000,0.008114,1
59408,20160602,BAC,BANK OF AMERICA CORP,14.94000,0.005384,1
59408,20160603,BAC,BANK OF AMERICA CORP,14.42000,-0.034806,1
59408,20160606,BAC,BANK OF AMERICA CORP,14.52000,0.006935,1
59408,20160607,BAC,BANK OF AMERICA CORP,14.35000,-0.011708,1
59408,20160608,BAC,BANK OF AMERICA CORP,14.43000,0.005575,1
59408,20160609,BAC,BANK OF AMERICA CORP,14.19000,-0.016632,1
59408,20160610,BAC,BANK OF AMERICA CORP,13.83000,-0.025370,1
59408,20160613,BAC,BANK OF AMERICA CORP,13.60000,-0.016630,1
59408,20160614,BAC,BANK OF AMERICA CORP,13.26000,-0.025000,1
59408,20160615,BAC,BANK OF AMERICA CORP,13.34000,0.006033,1
59408,20160616,BAC,BANK OF AMERICA CORP,13.31000,-0.002249,1
59408,20160617,BAC,BANK OF AMERICA CORP,13.40000,0.006762,1
59408,20160620,BAC,BANK OF AMERICA CORP,13.54000,0.010448,1
59408,20160621,BAC,BANK OF AMERICA CORP,13.62000,0.005908,1
59408,20160622,BAC,BANK OF AMERICA CORP,13.61000,-0.000734,1
59408,20160623,BAC,BANK OF AMERICA CORP,14.04000,0.031594,1
59408,20160624,BAC,BANK OF AMERICA CORP,13.00000,-0.074074,1
59408,20160627,BAC,BANK OF AMERICA CORP,12.18000,-0.063077,1
59408,20160628,BAC,BANK OF AMERICA CORP,12.70000,0.042693,1
59408,20160629,BAC,BANK OF AMERICA CORP,13.19000,0.038583,1
59408,20160630,BAC,BANK OF AMERICA CORP,13.27000,0.006065,1
59408,20160701,BAC,BANK OF AMERICA CORP,13.10000,-0.012811,1
59408,20160705,BAC,BANK OF AMERICA CORP,12.74000,-0.027481,1
59408,20160706,BAC,BANK OF AMERICA CORP,12.86000,0.009419,1
59408,20160707,BAC,BANK OF AMERICA CORP,13.01000,0.011664,1
59408,20160708,BAC,BANK OF AMERICA CORP,13.17000,0.012298,1
59408,20160711,BAC,BANK OF AMERICA CORP,13.21000,0.003037,1
59408,20160712,BAC,BANK OF AMERICA CORP,13.54000,0.024981,1
59408,20160713,BAC,BANK OF AMERICA CORP,13.44000,-0.007386,1
59408,20160714,BAC,BANK OF AMERICA CORP,13.65000,0.015625,1
59408,20160715,BAC,BANK OF AMERICA CORP,13.66000,0.000733,1
59408,20160718,BAC,BANK OF AMERICA CORP,14.11000,0.032943,1
59408,20160719,BAC,BANK OF AMERICA CORP,14.26000,0.010631,1
59408,20160720,BAC,BANK OF AMERICA CORP,14.40000,0.009818,1
59408,20160721,BAC,BANK OF AMERICA CORP,14.27000,-0.009028,1
59408,20160722,BAC,BANK OF AMERICA CORP,14.38000,0.007708,1
59408,20160725,BAC,BANK OF AMERICA CORP,14.37000,-0.000695,1
59408,20160726,BAC,BANK OF AMERICA CORP,14.53000,0.011134,1
59408,20160727,BAC,BANK OF AMERICA CORP,14.63000,0.006882,1
59408,20160728,BAC,BANK OF AMERICA CORP,14.68000,0.003418,1
59408,20160729,BAC,BANK OF AMERICA CORP,14.49000,-0.012943,1
59408,20160801,BAC,BANK OF AMERICA CORP,14.33000,-0.011042,1
59408,20160802,BAC,BANK OF AMERICA CORP,14.13000,-0.013957,1
59408,20160803,BAC,BANK OF AMERICA CORP,14.48000,0.024770,1
59408,20160804,BAC,BANK OF AMERICA CORP,14.48000,0.000000,1
59408,20160805,BAC,BANK OF AMERICA CORP,15.05000,0.039365,1
59408,20160808,BAC,BANK OF AMERICA CORP,15.13000,0.005316,1
59408,20160809,BAC,BANK OF AMERICA CORP,15.19000,0.003966,1
59408,20160810,BAC,BANK OF AMERICA CORP,14.81000,-0.025016,1
59408,20160811,BAC,BANK OF AMERICA CORP,14.88000,0.004727,1
59408,20160812,BAC,BANK OF AMERICA CORP,14.91000,0.002016,1
59408,20160815,BAC,BANK OF AMERICA CORP,15.02000,0.007378,1
59408,20160816,BAC,BANK OF AMERICA CORP,15.17000,0.009987,1
59408,20160817,BAC,BANK OF AMERICA CORP,15.15000,-0.001318,1
59408,20160818,BAC,BANK OF AMERICA CORP,15.16000,0.000660,1
59408,20160819,BAC,BANK OF AMERICA CORP,15.22000,0.003958,1
59408,20160822,BAC,BANK OF AMERICA CORP,15.18000,-0.002628,1
59408,20160823,BAC,BANK OF AMERICA CORP,15.35000,0.011199,1
59408,20160824,BAC,BANK OF AMERICA CORP,15.40000,0.003257,1
59408,20160825,BAC,BANK OF AMERICA CORP,15.53000,0.008442,1
59408,20160826,BAC,BANK OF AMERICA CORP,15.79000,0.016742,1
59408,20160829,BAC,BANK OF AMERICA CORP,15.84000,0.003167,1
59408,20160830,BAC,BANK OF AMERICA CORP,16.19000,0.022096,1
59408,20160831,BAC,BANK OF AMERICA CORP,16.14000,0.001544,1
59408,20160901,BAC,BANK OF AMERICA CORP,15.98000,-0.009913,1
59408,20160902,BAC,BANK OF AMERICA CORP,16.00000,0.001252,1
59408,20160906,BAC,BANK OF AMERICA CORP,15.78000,-0.013750,1
59408,20160907,BAC,BANK OF AMERICA CORP,15.70000,-0.005070,1
59408,20160908,BAC,BANK OF AMERICA CORP,15.86000,0.010191,1
59408,20160909,BAC,BANK OF AMERICA CORP,15.74000,-0.007566,1
59408,20160912,BAC,BANK OF AMERICA CORP,15.90000,0.010165,1
59408,20160913,BAC,BANK OF AMERICA CORP,15.72000,-0.011321,1
59408,20160914,BAC,BANK OF AMERICA CORP,15.63000,-0.005725,1
59408,20160915,BAC,BANK OF AMERICA CORP,15.67000,0.002559,1
59408,20160916,BAC,BANK OF AMERICA CORP,15.49000,-0.011487,1
59408,20160919,BAC,BANK OF AMERICA CORP,15.59000,0.006456,1
59408,20160920,BAC,BANK OF AMERICA CORP,15.60000,0.000641,1
59408,20160921,BAC,BANK OF AMERICA CORP,15.65000,0.003205,1
59408,20160922,BAC,BANK OF AMERICA CORP,15.60000,-0.003195,1
59408,20160923,BAC,BANK OF AMERICA CORP,15.52000,-0.005128,1
59408,20160926,BAC,BANK OF AMERICA CORP,15.09000,-0.027706,1
59408,20160927,BAC,BANK OF AMERICA CORP,15.29000,0.013254,1
59408,20160928,BAC,BANK OF AMERICA CORP,15.38000,0.005886,1
59408,20160929,BAC,BANK OF AMERICA CORP,15.16000,-0.014304,1
59408,20160930,BAC,BANK OF AMERICA CORP,15.65000,0.032322,1
59408,20161003,BAC,BANK OF AMERICA CORP,15.63000,-0.001278,1
59408,20161004,BAC,BANK OF AMERICA CORP,15.80000,0.010877,1
59408,20161005,BAC,BANK OF AMERICA CORP,16.11000,0.019620,1
59408,20161006,BAC,BANK OF AMERICA CORP,16.22000,0.006828,1
59408,20161007,BAC,BANK OF AMERICA CORP,16.13000,-0.005549,1
59408,20161010,BAC,BANK OF AMERICA CORP,16.30000,0.010539,1
59408,20161011,BAC,BANK OF AMERICA CORP,16.11000,-0.011656,1
59408,20161012,BAC,BANK OF AMERICA CORP,16.03000,-0.004966,1
59408,20161013,BAC,BANK OF AMERICA CORP,15.83000,-0.012477,1
59408,20161014,BAC,BANK OF AMERICA CORP,16.00000,0.010739,1
59408,20161017,BAC,BANK OF AMERICA CORP,16.05000,0.003125,1
59408,20161018,BAC,BANK OF AMERICA CORP,16.26000,0.013084,1
59408,20161019,BAC,BANK OF AMERICA CORP,16.47000,0.012915,1
59408,20161020,BAC,BANK OF AMERICA CORP,16.56000,0.005464,1
59408,20161021,BAC,BANK OF AMERICA CORP,16.67000,0.006643,1
59408,20161024,BAC,BANK OF AMERICA CORP,16.77000,0.005999,1
59408,20161025,BAC,BANK OF AMERICA CORP,16.72000,-0.002982,1
